Undercut_Delta,Leader_Eq_Lap,Follower_Eq_Lap,Leader_Win_Prob
0.5,24,24,0.55
0.6,24,24,0.55
0.7,20,20,0.55
0.7999999999999999,20,20,0.55
0.8999999999999999,20,20,0.55
0.9999999999999999,20,20,0.55
1.0999999999999999,20,20,0.55
1.1999999999999997,20,20,0.55
1.2999999999999998,20,20,0.55
1.4,20,20,0.55
1.4999999999999998,20,20,0.55
1.5999999999999996,20,20,0.55
1.6999999999999997,20,20,0.55
1.7999999999999998,20,20,0.55
1.8999999999999997,20,20,0.55
1.9999999999999996,20,20,0.55
2.0999999999999996,20,20,0.55
2.1999999999999997,20,20,0.55
2.3,20,20,0.55
2.3999999999999995,20,20,0.55
2.4999999999999996,20,20,0.55
2.5999999999999996,20,20,0.55
2.6999999999999993,20,20,0.55
2.7999999999999994,20,20,0.55
2.8999999999999995,20,20,0.55
